id;target;source
0;No.;No.
1;No, no, no!;No, no, no!
2;¡No!;No!
3;Es Tom.;It's Tom.
4;Es de Tom.;It's Tom's.
5;Es la una.;It's one o'clock.
6;Es él.;It is he.
7;Es él, ¿no?;He's the one, isn't he?
8;¡A por él!;Seize him!
9;Es lo que es.;It is what it is.
10;Y que?;So what?
11;Es de ella.;It's hers.
12;Él no está.;He is from home.
13;No está.;He's not in.
14;¿Está Tom?;Is Tom here?
15;Es para Tom.;It's for Tom.
16;¿Por qué?;Why?
17;¿Por qué no?;Why not?
18;¿Y por qué no?;And why not?
19;¿Qué?;What?
20;¿Por qué? "¿Por qué no?";Why? "Why not?"
21;¿Y qué?;So what?
22;¿Para qué?;For what?
23;¿Qué más?;What else?
24;¡Yo!;Me!
25;¿Por qué yo?;Why me?
26;¿Qué tiene?;What do you have?
27;¿Qué tiene ella?;What does she have?
28;¿Qué no tiene?;What don't you have?
29;«¡Tom!» «¡Mary!»;“Tom!” “Mary!”
30;Tom está con Mary.;Tom is with Mary.
31;Este es Tom.;This is Tom.
32;Este es de Tom.;This one's Tom's.
33;¿Es este?;Is this it?
34;Tom no es como Mary.;Tom isn't like Mary.
35;Yo como.;I eat.
36;No como.;I don't eat.
37;Estoy de más.;I'm unnecessary here.
38;Estoy con él.;I'm with him.
39;Tom se fue.;Tom left.
40;Fue Tom.;It was Tom.
41;Él se fue.;He walked away.
42;Ella fue con él.;She went with him.
43;¡Lo tengo!;Got it!
44;Tom estaba con Mary.;Tom was with Mary.
45;No está en casa.;He's not home.
46;Él no está en casa.;He's not in.
47;Esta es la casa de Tom.;It's Tom's house.
48;Es la casa de Tom.;That's Tom's house.
49;Estoy en casa, Tom.;I'm home, Tom.
50;¿Está él en casa?;Is he at home?
51;Ella se fue a casa.;She went home.
52;Esta no es tu casa.;This isn't your house.
53;Mi casa es tu casa.;My home is your home.
54;Él estaba en casa.;He was at home.
55;No, no es mi casa.;No, that's not my house.
56;Esta es su casa.;That's her home.
57;Esta es mi casa.;This is my home.
58;Lo tengo en casa.;I have it at home.
59;Esta es la casa.;This is the house.
60;Ella está en casa.;She's at home.
61;Estoy en casa.;I'm at home.
62;Tu casa es mi casa.;Your house be my house.
63;¿Tom no fue a la casa de Mary?;Didn't Tom go to Mary's house?
64;Tom está en la casa.;Tom is in the house.
65;Esta no es mi casa.;This is not my home.
66;Él está en casa.;He is at home.
67;¿Por qué Tom está en la casa?;Why is Tom home?
68;Esta es tu casa.;This is your house.
69;¿Esta es su casa?;Is this your house?
70;Tengo una casa.;I have a house.
71;Estoy en la casa.;I am in the house.
72;¿Está ella en casa?;Is she at home?
73;¿Tom está en casa?;Is Tom home?
74;No tengo casa.;I have no home.
75;Estaba en casa.;I was at home.
76;¿Qué hay?;What's going on?
77;¿Hay más?;Is there more?
78;Hay una más.;There's one more.
79;No hay de qué.;You're welcome.
80;No te quiero.;I don't love you.
81;Te quiero.;I love you.
82;Tengo lo que quiero.;I have what I want.
83;Te quiero más que a ella.;I love you more than I love her.
84;No quiero.;I don't want to.
85;No quiero una.;I don't want one.
86;No la quiero en mi casa.;I don't want her in my house.
87;Quiero más.;I want more.
88;Lo quiero.;I want it.
89;¡Quiero una!;I want one!
90;Yo me quiero.;I love myself.
91;¡Te quiero!;I love you!
92;Tengo todo lo que quiero.;I've got everything I want.
93;Ella lo es todo para él.;She is everything to him.
94;Tengo de todo.;I have everything.
95;Tengo todo.;I have everything.
96;¿Es todo?;That all you've got?
97;Ella es todo para él.;She is everything to him.
98;¿Para qué son?;What are they for?
99;No puedo con ella.;I can't resist her.
100;No puedo.;I can't.
101;¿Qué es eso?;What is it?
102;Eso es todo.;That's all.
103;¿Eso es todo?;Is that it?
104;¿Qué fue eso?;What was that?
105;Eso es todo lo que quiero.;It's all I want.
106;Eso es.;That's it.
107;¿Eso fue un si?;Was that a yes?
108;Eso es todo lo que tengo.;That is all I have.
109;Eso no es lo que quiero.;That's not what I want.
110;Eso es lo que quiero.;That's what I want.
111;¡Eso es!;That's right!
112;Quiero eso.;I want that.
113;No, eso es todo.;No, that's all.
114;Quiero más de eso.;I want more of that.
115;No está aquí.;He's not in.
116;Aquí hay de todo.;This place has everything.
117;¿Por qué está aquí?;Why is he here?
118;Estoy aquí con Tom.;I'm here with Tom.
119;Como aquí.;I eat here.
120;¿Qué hay aquí?;What's in here?
121;Su casa está por aquí.;His house is somewhere around here.
122;Ella está aquí.;She is here.
123;Yo no estoy aquí.;I'm not here.
124;¿Es de aquí?;Are you from here?
125;Aquí está.;Here it is.
126;¿Por qué Tom no está aquí?;Why isn't Tom here?
